,,Student,,Expert,Nicad-30,Nicad-40,Nicad-50,MeCC_95_20,MeCC_95_10,MeCC_95_4,MeCC_90_20,MeCC_90_10,MeCC_90_4,MeCC_80_20,MeCC_80_10,MeCC_80_4,MeCC_70_20,MeCC_70_10,MeCC_70_4,MeCC_60_20,MeCC_60_10,MeCC_60_4,MeCC_50_20,MeCC_50_10,MeCC_50_4,Simcad
audioop..audioop_lin2ulaw()-cmathmodule..c_log(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_lin2ulaw()-audioop..audioop_mul(),,,,,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
audioop..audioop_lin2ulaw()-grpmodule..grp_getgrnam(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_lin2ulaw()-fpetestmodule..test(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_lin2ulaw()-fpectlmodule..sigfpe_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_lin2ulaw()-grpmodule..initgrp(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_lin2ulaw()-audioop..audioop_lin2alaw(),,,,,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
audioop..audioop_lin2ulaw()-audioop..gcd(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_lin2ulaw()-audioop..audioop_ratecv(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
audioop..audioop_lin2ulaw()-audioop..audioop_minmax(),,0.25,,Type 3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
audioop..audioop_lin2ulaw()-fcntlmodule..fcntl_lockf(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
audioop..audioop_lin2ulaw()-fcntlmodule..fcntl_ioctl(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
audioop..audioop_lin2ulaw()-audioop..audioop_tomono(),,,,,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
audioop..audioop_lin2ulaw()-audioop..audioop_max(),,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
audioop..audioop_lin2ulaw()-cmathmodule..c_log10(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_lin2ulaw()-audioop..audioop_findmax(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
audioop..audioop_lin2ulaw()-fcntlmodule..conv_descriptor(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
audioop..audioop_lin2ulaw()-audioop.._sum2(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
audioop..audioop_lin2ulaw()-audioop..audioop_findfactor(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
audioop..audioop_lin2ulaw()-audioop..audioop_adpcm2lin(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
fcntlmodule..all_ins()-audioop..audioop_lin2lin(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-grpmodule..grp_getgrgid(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-cmathmodule..c_prodi(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-fcntlmodule..fcntl_fcntl(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-fcntlmodule..ins(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-cmathmodule..c_asin(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-fpetestmodule..db0(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-audioop..audioop_cross(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-cmathmodule..c_cos(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-audioop..search(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-fpetestmodule..nest2(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-cmathmodule..c_atan(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-fpectlmodule..fpe_reset(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-cmathmodule..cmath_log(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-audioop..audioop_reverse(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-audioop..audioop_tostereo(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-cmathmodule..c_log(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-audioop..audioop_mul(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-grpmodule..grp_getgrnam(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-fpetestmodule..test(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-fpectlmodule..sigfpe_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-grpmodule..initgrp(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-audioop..audioop_lin2alaw(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-audioop..gcd(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-audioop..audioop_ratecv(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-audioop..audioop_minmax(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-fcntlmodule..fcntl_lockf(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-fcntlmodule..fcntl_ioctl(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-audioop..audioop_tomono(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-audioop..audioop_max(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-cmathmodule..c_log10(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-audioop..audioop_findmax(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-fcntlmodule..conv_descriptor(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-audioop.._sum2(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-audioop..audioop_findfactor(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fcntlmodule..all_ins()-audioop..audioop_adpcm2lin(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntlmodule..all_ins()-audioop..audioop_lin2ulaw(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fpectlmodule..turnoff_sigfpe()-audioop..audioop_lin2lin(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-grpmodule..grp_getgrgid(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-cmathmodule..c_prodi(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-fcntlmodule..fcntl_fcntl(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-fcntlmodule..ins(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-cmathmodule..c_asin(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-fpetestmodule..db0(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..audioop_cross(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-cmathmodule..c_cos(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..search(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-fpetestmodule..nest2(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-cmathmodule..c_atan(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-fpectlmodule..fpe_reset(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-cmathmodule..cmath_log(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..audioop_reverse(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..audioop_tostereo(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-cmathmodule..c_log(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..audioop_mul(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-grpmodule..grp_getgrnam(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-fpetestmodule..test(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-fpectlmodule..sigfpe_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-grpmodule..initgrp(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..audioop_lin2alaw(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..gcd(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..audioop_ratecv(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..audioop_minmax(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-fcntlmodule..fcntl_lockf(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-fcntlmodule..fcntl_ioctl(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..audioop_tomono(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..audioop_max(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-cmathmodule..c_log10(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..audioop_findmax(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-fcntlmodule..conv_descriptor(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop.._sum2(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..audioop_findfactor(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..audioop_adpcm2lin(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-audioop..audioop_lin2ulaw(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpectlmodule..turnoff_sigfpe()-fcntlmodule..all_ins(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-audioop..audioop_lin2lin(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
audioop..audioop_avgpp()-grpmodule..grp_getgrgid(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-cmathmodule..c_prodi(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-fcntlmodule..fcntl_fcntl(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
audioop..audioop_avgpp()-fcntlmodule..ins(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
audioop..audioop_avgpp()-cmathmodule..c_asin(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-fpetestmodule..db0(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-audioop..audioop_cross(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
audioop..audioop_avgpp()-cmathmodule..c_cos(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-audioop..search(),,0.25,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
audioop..audioop_avgpp()-fpetestmodule..nest2(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-cmathmodule..c_atan(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-fpectlmodule..fpe_reset(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-cmathmodule..cmath_log(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-audioop..audioop_reverse(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
audioop..audioop_avgpp()-audioop..audioop_tostereo(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
audioop..audioop_avgpp()-cmathmodule..c_log(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-audioop..audioop_mul(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
audioop..audioop_avgpp()-grpmodule..grp_getgrnam(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-fpetestmodule..test(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-fpectlmodule..sigfpe_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-grpmodule..initgrp(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-audioop..audioop_lin2alaw(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
audioop..audioop_avgpp()-audioop..gcd(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-audioop..audioop_ratecv(),,0.25,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
audioop..audioop_avgpp()-audioop..audioop_minmax(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
audioop..audioop_avgpp()-fcntlmodule..fcntl_lockf(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
audioop..audioop_avgpp()-fcntlmodule..fcntl_ioctl(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
audioop..audioop_avgpp()-audioop..audioop_tomono(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
audioop..audioop_avgpp()-audioop..audioop_max(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
audioop..audioop_avgpp()-cmathmodule..c_log10(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_avgpp()-audioop..audioop_findmax(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
audioop..audioop_avgpp()-fcntlmodule..conv_descriptor(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
audioop..audioop_avgpp()-audioop.._sum2(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
audioop..audioop_avgpp()-audioop..audioop_findfactor(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0
audioop..audioop_avgpp()-audioop..audioop_adpcm2lin(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
audioop..audioop_avgpp()-audioop..audioop_lin2ulaw(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
audioop..audioop_avgpp()-fcntlmodule..all_ins(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
audioop..audioop_avgpp()-fpectlmodule..turnoff_sigfpe(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_lin2lin(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-grpmodule..grp_getgrgid(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-cmathmodule..c_prodi(),,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-fcntlmodule..fcntl_fcntl(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-fcntlmodule..ins(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-cmathmodule..c_asin(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-fpetestmodule..db0(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_cross(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-cmathmodule..c_cos(),,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cmathmodule..c_sin()-audioop..search(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-fpetestmodule..nest2(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-cmathmodule..c_atan(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-fpectlmodule..fpe_reset(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-cmathmodule..cmath_log(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_reverse(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_tostereo(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-cmathmodule..c_log(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_mul(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-grpmodule..grp_getgrnam(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-fpetestmodule..test(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-fpectlmodule..sigfpe_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-grpmodule..initgrp(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_lin2alaw(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..gcd(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_ratecv(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_minmax(),,0.75,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-fcntlmodule..fcntl_lockf(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-fcntlmodule..fcntl_ioctl(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_tomono(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_max(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-cmathmodule..c_log10(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_findmax(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-fcntlmodule..conv_descriptor(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop.._sum2(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_findfactor(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_adpcm2lin(),,0.5,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_lin2ulaw(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-fcntlmodule..all_ins(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-fpectlmodule..turnoff_sigfpe(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmathmodule..c_sin()-audioop..audioop_avgpp(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audioop..audioop_getsample()-audioop..audioop_lin2lin(),,0,,No Clone,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
audioop..audioop_getsample()-grpmodule..grp_getgrgid(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
